Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
38,6243379,"77.5 сая ₮
Цайз захын баруун талд 2 өрөө байр 50м2
1 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",115.0,39.0,,,,,,,,,,,,,,,,,,,,,
12,6260556,"295 сая ₮
Sunset хотхонд төвийн шугамд 3өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 4",108.0,13.0,,,,,,,,,,,,,,,,,,,,,
54,6277301,"70 сая ₮ 75 сая ₮
Баянзүрх 2 өрөө байр 44м2
1 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",91.0,55.0,,,,,,,,,,,,,,,,,,,,,
19,6290326,"130 сая ₮ 150 сая ₮
Налайх дүүрэгт 3 өрөө
3 долоо хоногийн өмнө
УБ — Налайх",139.0,20.0,,,,,,,,,,,,,,,,,,,,,
1,6299813,"3 сая ₮
Зайсанд 144мкв 4 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",118.0,2.0,,,,,,,,,,,,,,,,,,,,,
27,6354686,"370 сая ₮
Тээврийн товчоонд 4 өрөө 122.6м2
2 өдрийн өмнө
УБ — Баянгол, Тээврийн товчоо",45.0,28.0,,,,,,,,,,,,,,,,,,,,,
33,6375990,"3.8 сая ₮
Бзд, 3-р хороо, 165.4мкв 4 өрөө байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, 13-р хороолол",106.0,34.0,,,,,,,,,,,,,,,,,,,,,
20,6400741,"83 сая ₮
Нисэх, буянт-ухаа 1 хороололд 1 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",120.0,21.0,,,,,,,,,,,,,,,,,,,,,
46,6402365,"569.43 сая ₮
Жаргалан хотхонд 6 өрөө дуплекс
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нархан хотхон",129.0,47.0,,,,,,,,,,,,,,,,,,,,,
13,6416235,"2.3 сая ₮
3 oroo bair
2 өдрийн өмнө
УБ — Сонгинохайрхан, 1-р хороолол",43.0,14.0,,,,,,,,,,,,,,,,,,,,,
2,6427658,"145 сая ₮
100 айлд 2 өрөө байр 45м2
4 долоо хоногийн өмнө
УБ — Сүхбаатар, 100 айл",155.0,3.0,,,,,,,,,,,,,,,,,,,,,
54,6467189,"235.38 сая ₮
Москва хороололд 3 өрөө байр
1 сарын өмнө
УБ — Сонгинохайрхан, Москва хороолол",158.0,55.0,,,,,,,,,,,,,,,,,,,,,
18,6487347,"2.8 сая ₮
Арцатын аманд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 4",121.0,19.0,,,,,,,,,,,,,,,,,,,,,
